n_estimators,max_features,max_depth,F1_deceased,Recall_deceased,Accuracy,Recall
80,sqrt,25,0.9559777124555785,0.9172096782340758,0.9239659097145814,0.9239659097145814
90,sqrt,25,0.9572060993605509,0.919256334986672,0.9247159796252786,0.9247159796252786
100,sqrt,25,0.9576645414720524,0.9201023311578111,0.9253771910796563,0.9253771910796563
80,log2,25,0.9293145163041826,0.8835622661457516,0.8997153915913766,0.8997153915913766
90,log2,25,0.9275783159683095,0.8801404790103962,0.8996160791990194,0.8996160791990194
100,log2,25,0.9275743939991078,0.879565670918514,0.8994174544143052,0.8994174544143052
80,0.5,25,0.9658514033730741,0.9380709783265694,0.9331523060076157,0.9331523060076157
90,0.5,25,0.9660920409743421,0.9392185363996608,0.9339102163703411,0.9339102163703411
100,0.5,25,0.9668312208138758,0.9394478919984097,0.934670740217076,0.934670740217076
80,sqrt,30,0.9867021036169193,0.9737532340083861,0.9669524947011612,0.9669524947011612
90,sqrt,30,0.9875814894069427,0.9754676342577283,0.9673366768505427,0.9673366768505427
100,sqrt,30,0.9874028071159439,0.9751190444283634,0.9672974745904017,0.9672974745904017
80,log2,30,0.9713793288207034,0.9474028010033445,0.9470664948736511,0.9470664948736511
90,log2,30,0.9683525136281042,0.9421690297084618,0.9452266021310348,0.9452266021310348
100,log2,30,0.9707375669267078,0.9468773684348076,0.946967182481294,0.946967182481294
80.0,0.5,30.0,0.9953310231625023,0.9907054423991577,0.9812691601046439,0.9812691601046439
90.0,0.5,30.0,0.995421796625627,0.9908853221003704,0.9819146906549652,0.9819146906549652
100.0,0.5,30.0,0.995421796625627,0.9908853221003704,0.9821002480196325,0.9821002480196325
80,sqrt,35,0.9971268699326253,0.9942702023192472,0.9889162143161427,0.9889162143161427
90,sqrt,35,0.9972954204890172,0.9946054310187716,0.9897159404230185,0.9897159404230185
100,sqrt,35,0.9973683248656748,0.9947504648025957,0.9899929697280148,0.9899929697280148
80,log2,35,0.9839437648512284,0.9687130998357526,0.9661553820782948,0.9661553820782948
90,log2,35,0.9833717870146724,0.9676049093682381,0.9653347480993437,0.9653347480993437
100,log2,35,0.9843920570907878,0.9695825261698686,0.9659619842615993,0.9659619842615993
80.0,0.5,35.0,0.9996977496084484,0.9993956818722874,0.996652126983961,0.996652126983961
90.0,0.5,35.0,0.9997572693257125,0.9995146564591899,0.9968977944808445,0.9968977944808445
100.0,0.5,35.0,0.9997526906343027,0.9995055035622058,0.9970624439734366,0.9970624439734366
